state,public_use_microdata_area,WhiteNH,BlackNH,AminNH,AsianNH,OtherNH,TwoMore,Hispan,WhiteHispan,BlackHispan,HispanOther
48,01200,82074,19347,345,797,197,2288,12872,7964,33,4875
49,13001,114786,559,10814,1347,39,2833,14444,9706,231,4507
49,21001,133893,757,2366,1459,125,2047,12803,5806,35,6962
49,05001,154232,1216,413,3726,446,3618,18730,11200,21,7509
49,53001,144595,1088,2023,2726,485,2913,18297,10207,114,7976
49,03001,104791,703,819,1413,413,2489,14065,7649,74,6342
49,11001,184307,3310,764,5693,186,6382,24520,14355,264,9901
49,11002,107692,870,426,2829,213,3309,10260,6380,27,3853
49,49004,148607,807,444,2355,75,3823,14551,9530,78,4943
49,49001,124809,505,554,1892,226,3958,14732,9495,52,5185
49,49002,150390,1089,681,4776,146,5865,24103,16949,56,7098
49,49003,85296,1091,530,4763,227,4468,20683,14916,183,5584
49,57001,117360,782,673,2084,171,4057,24863,16057,89,8717
49,57002,76291,1563,559,1607,79,3048,22147,14578,156,7413
49,35004,63210,3603,1234,10356,446,3136,38262,12331,485,25446
49,35007,136515,1767,523,9088,582,4234,22117,9984,0,12133
49,35003,56917,3191,717,8576,249,2620,38020,11238,110,26672
49,35009,90423,1362,572,4861,656,2675,9739,5922,7,3810
49,35005,120893,3127,826,7165,370,4101,16732,8765,167,7800
49,35002,96229,2348,1037,7019,502,3869,13557,7664,673,5220
49,35001,51415,2109,826,8303,422,3231,43008,10479,92,32437
49,35006,107064,1769,585,4207,534,3907,19070,7715,18,11337
48,04100,83632,18081,150,528,326,1714,10436,6197,53,4186
48,05500,80927,7224,75,639,109,2108,58092,37247,331,20514
48,02505,68516,23358,311,7425,435,4158,19089,12420,331,6338
48,02504,32056,40970,247,13514,431,3420,30711,16972,1394,12345
48,05204,104857,8918,221,9181,172,5892,39445,28310,368,10767
48,05201,95030,7664,209,1521,135,3305,37903,24952,656,12295
48,05203,63058,5716,315,19595,328,4712,25782,18215,192,7375
48,05202,70120,12620,120,10636,473,5476,37209,27387,390,9432
48,04803,55414,9730,537,1162,273,1162,37491,25579,412,11500
48,04802,65564,11345,134,5208,81,1560,44365,32034,285,12046
48,04801,48674,30762,655,17946,189,3478,32231,21935,359,9937
48,00502,107466,12718,397,4040,266,3144,64472,44868,835,18769
26,03300,136372,3555,431,775,176,3164,5527,4040,65,1422
26,02800,179472,1096,405,2027,69,2912,4851,3761,58,1032
26,02901,127660,1680,183,2303,149,2615,4041,2932,0,1109
26,01001,108489,7893,538,4962,81,6536,21848,9744,1216,10888
26,01003,136982,14111,253,8692,75,4468,9067,5573,298,3196
17,03007,95198,2931,50,5005,550,2050,13285,7662,112,5511
17,03008,61271,7895,48,6822,603,2209,61178,19746,345,41087
17,03009,103858,2434,22,5463,0,2543,10871,6316,184,4371
17,02700,80154,4800,186,594,176,2450,7116,4650,0,2466
17,02601,79607,7573,48,2225,78,3110,11947,6955,270,4722
17,01701,125366,32055,403,7565,312,6471,8939,5075,49,3815
17,02300,78444,16291,180,898,139,2291,11681,7367,114,4200
17,03205,91051,5454,59,12704,139,3451,12892,8803,17,4072
17,03207,72347,2766,20,7624,89,1847,33105,17385,245,15475
17,03203,83902,5899,93,15659,83,3416,10549,7366,66,3117
17,03204,113612,5569,28,15321,82,3372,9923,6322,202,3399
17,03202,88278,5398,132,11017,353,3674,8367,5808,106,2453
17,03409,89164,7957,150,3845,252,2244,47706,27056,397,20253
17,03209,69133,8685,35,22295,146,3160,17890,9993,389,7508
17,03208,94413,10320,122,27792,531,3198,40010,21972,428,17610
17,01900,124138,1547,193,1400,63,1982,3201,2294,0,907
17,01204,106012,7006,181,1815,25,2790,3865,2459,54,1352
17,01205,117497,15580,110,850,220,3519,5020,3296,343,1381
17,03106,89388,19121,289,28446,179,5807,30354,12830,221,17303
17,03105,88702,14273,18,5052,388,3418,30235,16836,600,12799
17,03102,59581,24004,99,1843,202,3530,44647,22586,387,21674
17,03107,109420,3138,10,2257,89,2639,8583,5595,0,2988
17,03108,86981,15954,16,503,118,2030,8390,4820,247,3323
17,01500,79270,16470,172,1275,189,4861,2451,1595,111,745
17,01104,108554,24584,158,2351,940,5149,5733,2998,108,2627
17,01105,50813,53003,175,1408,113,2917,5292,2650,243,2399
17,01300,156480,24746,202,4073,333,5507,4622,2656,193,1773
17,02801,118353,33738,182,5936,256,6110,30845,20477,1075,9293
17,03407,65645,48621,81,3962,582,2727,52410,23782,706,27922
17,03422,75784,2525,51,7312,233,1313,41492,21894,168,19430
17,03521,21503,74325,176,2454,527,2102,87156,39427,1535,46194
17,03520,71901,2671,135,9206,486,2497,47804,24601,552,22651
17,03419,79229,3843,202,11557,124,2269,23434,12787,113,10534
17,03527,32041,4867,103,1339,87,461,107518,54933,377,52208
17,03408,52034,16167,134,4707,514,3286,111581,34491,799,76291
17,03418,60377,5217,151,23096,305,3205,16434,6550,193,9691
17,03420,127086,4260,296,24144,745,3854,25409,15720,192,9497
17,03410,143033,5485,142,7152,236,1818,17411,11385,74,5952
17,03530,37421,64824,60,997,172,2763,22788,10775,388,11625
17,03523,11816,83561,113,809,430,1926,91855,37887,1884,52084
